request_idx,with_other_issue,primary_issue,request_id,therapist_id,variant,raw_match_score,apply_fit,apply_msg_len,rationale
18,0,depression,exp-req-018-8cc68b,54f8069d-9336-4d14-96b5-a692e3bf61f8,B_oneliner,95,0,27,"The message is a generic two-line response that does not mention depression, prior therapy experience, or the patient's preference for structured therapy."
18,0,depression,exp-req-018-8cc68b,774a11fb-6558-433b-8df2-6ebf0c120279,C_generic_long,95,0.5,327,Generic introduction that neither addresses depression by name nor acknowledges the patient's prior CBT experience or need for structured-but-not-clinical therapy.
18,0,depression,exp-req-018-8cc68b,30a94252-3cd0-42d1-a960-86def311f9e8,D_issue_specific,94,2.5,206,"Names depression as primary concern but ignores both the structured style preference and the fact that prior CBT felt too clinical, making it a generic response."
18,0,depression,exp-req-018-8cc68b,edcb82ab-1596-4040-80ec-6d80e2bd01b7,E_full_engagement,94,5.0,560,"Directly names depression, acknowledges their CBT experience feeling too clinical, and offers a warm+direct alternative that responds to both their concern and prior therapy disappointment."
19,1,anxiety,exp-req-019-3d5b2a,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,84,0,0,No apply message provided.
19,1,anxiety,exp-req-019-3d5b2a,ea7c8499-17c1-432e-855a-f26458dfd4c7,B_oneliner,84,0,27,"The message is generic and transactional, failing to address any of the patient's concerns, style preferences, or prior therapy experience."
19,1,anxiety,exp-req-019-3d5b2a,774a11fb-6558-433b-8df2-6ebf0c120279,C_generic_long,84,0.5,327,"Generic template message that doesn't mention anxiety, depression, grief, exploratory style preference, or acknowledge the prior therapy experience."
19,1,anxiety,exp-req-019-3d5b2a,915967e3-ac56-4a36-8f02-effab988618f,D_issue_specific,82,3.0,203,"Addresses anxiety by name and mentions approach style, but does not acknowledge depression, grief, exploratory preference, or prior therapy experience."
19,1,anxiety,exp-req-019-3d5b2a,c5aa86f5-b6f4-4777-b3b9-f0b29baca9b6,E_full_engagement,82,5.0,550,"Addresses anxiety by name, acknowledges the prior therapy experience in college that didn't click, and directly speaks to the exploratory style preference by explaining their warm + direct approach."
23,1,depression,exp-req-023-c553eb,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,88,0,0,No apply message provided.
23,1,depression,exp-req-023-c553eb,d135e888-21b1-414b-90a5-2892b94c4ee8,B_oneliner,88,0,27,"The message is entirely generic and does not acknowledge the patient's depression, anxiety, style preference, or therapy experience in any way."
23,1,depression,exp-req-023-c553eb,b5ceb107-0e6b-4dcb-9072-95e571301937,C_generic_long,84,1.0,327,"Generic introduction that does not name depression or anxiety, nor acknowledge the patient's preference for a direct and warm style or their status as a first-time therapy client."
23,1,depression,exp-req-023-c553eb,774a11fb-6558-433b-8df2-6ebf0c120279,D_issue_specific,82,3.5,206,"Directly addresses depression as primary concern and mentions collaborative approach, but doesn't acknowledge anxiety or explicitly speak to the patient's preference for direct, warm style."
23,1,depression,exp-req-023-c553eb,47fdd74a-2cb3-4c90-aeee-662c7f9eb304,E_full_engagement,81,5.0,456,"Directly names both depression and anxiety concerns, explicitly addresses the patient's direct and warm style preference, and acknowledges this being their first therapy experience."
25,1,anxiety,exp-req-025-f4441f,723ac8d5-b667-4442-994d-4f65647c0e92,A_empty,95,0,0,No apply message provided.
25,1,anxiety,exp-req-025-f4441f,5ae6074c-6319-4f31-849e-cfd81756fb2e,B_oneliner,92,0,27,"The message is a generic one-liner that does not acknowledge the patient's anxiety, relationship conflict, warm style preference, or prior therapy experience."
25,1,anxiety,exp-req-025-f4441f,bf0c89f2-32b2-4ae8-b06d-b18ace4051d5,C_generic_long,91,1.5,327,"Generic introduction that doesn't mention anxiety, relationship conflict, warmth preference, or acknowledge the transition from couples to solo therapy."
25,1,anxiety,exp-req-025-f4441f,fdfb1214-b096-47e0-a9c7-161f6bc62966,D_issue_specific,91,3.0,203,"Addresses anxiety directly and mentions approach style, but does not acknowledge relationship conflict or their prior couples therapy experience."
25,1,anxiety,exp-req-025-f4441f,ea7c8499-17c1-432e-855a-f26458dfd4c7,E_full_engagement,90,5.0,442,"Directly names anxiety, explicitly addresses the warm style preference, and specifically acknowledges the couples-vs-solo therapy history."
29,1,depression,exp-req-029-dafe04,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,77,0,0,No apply message provided.
29,1,depression,exp-req-029-dafe04,54f8069d-9336-4d14-96b5-a692e3bf61f8,B_oneliner,76,0,27,"The message is a generic one-liner that does not mention the patient's depression, self-esteem, or grief concerns, nor acknowledges their couples-only therapy background or preference for structured, "
29,1,depression,exp-req-029-dafe04,d135e888-21b1-414b-90a5-2892b94c4ee8,C_generic_long,75,0.5,327,"Completely generic message that could be sent to any patient; makes no mention of depression, self-esteem, grief, their couples therapy background, or their preference for structured and warm support."
29,1,depression,exp-req-029-dafe04,774a11fb-6558-433b-8df2-6ebf0c120279,D_issue_specific,72,2.5,206,"Mentions depression by name but doesn't address self-esteem or grief, ignores the couples-to-solo transition, and doesn't speak to the patient's preference for structured and warm approach."
29,1,depression,exp-req-029-dafe04,edcb82ab-1596-4040-80ec-6d80e2bd01b7,E_full_engagement,72,5.0,445,"Directly addresses depression by name, explicitly responds to the couples-vs-solo therapy history, and signals warm + direct style matching the structured/warm preference."
36,0,anxiety,exp-req-036-98cbce,d135e888-21b1-414b-90a5-2892b94c4ee8,A_empty,80,0,0,No apply message provided.
36,0,anxiety,exp-req-036-98cbce,edcb82ab-1596-4040-80ec-6d80e2bd01b7,B_oneliner,79,0,27,"The message is a generic two-word response that doesn't address anxiety, life transition, exploratory style preference, or any aspect of the patient's needs."
36,0,anxiety,exp-req-036-98cbce,915967e3-ac56-4a36-8f02-effab988618f,C_generic_long,78,1.5,327,"Generic introduction that mentions 'what brings you in' only in passing without naming anxiety, life transitions, or addressing the exploratory style preference."
36,0,anxiety,exp-req-036-98cbce,c5aa86f5-b6f4-4777-b3b9-f0b29baca9b6,D_issue_specific,78,3.5,203,"Directly addresses anxiety as a primary concern and mentions a collaborative approach, but does not acknowledge the life transition issue or the patient's preference for exploratory therapy."
36,0,anxiety,exp-req-036-98cbce,b4733156-b012-4a9a-81a7-2203f06c6f16,E_full_engagement,78,3.5,352,"Addresses anxiety directly and acknowledges exploratory preference but signals a mismatch rather than embracing it, missing the life transition concern entirely."
37,1,depression,exp-req-037-f9a1a7,3b31cb73-4e20-494e-b60f-14d75771a6a2,A_empty,88,0,0,No apply message provided.
37,1,depression,exp-req-037-f9a1a7,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,87,0,27,"The message is a generic two-sentence response that does not acknowledge the patient's depression, anxiety, self-esteem concerns, therapy history, or style preferences in any way."
37,1,depression,exp-req-037-f9a1a7,b5ceb107-0e6b-4dcb-9072-95e571301937,C_generic_long,86,1.5,327,"Generic introduction that doesn't address depression, anxiety, or self-esteem by name, doesn't acknowledge their style preferences, and completely ignores their prior couples therapy experience."
37,1,depression,exp-req-037-f9a1a7,d135e888-21b1-414b-90a5-2892b94c4ee8,D_issue_specific,86,3.5,206,"Addresses depression directly and mentions collaborative approach which speaks to style preference, but does not acknowledge anxiety, self-esteem, or the fact that this would be their first solo thera"
37,1,depression,exp-req-037-f9a1a7,3f84d00c-aea0-4051-9fce-41cc90be5972,E_full_engagement,86,5.0,555,"Directly addresses depression by name, explicitly names the warm+direct style preference, and specifically engages the prior couples therapy experience while offering solo work."
42,0,depression,exp-req-042-940f07,b5ceb107-0e6b-4dcb-9072-95e571301937,A_empty,88,0,0,No apply message provided.
42,0,depression,exp-req-042-940f07,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,87,0,27,"The message is a generic two-word response that does not mention any of the patient's presenting issues, therapy history, or style preferences."
42,0,depression,exp-req-042-940f07,c40400b2-cf6b-465c-8bde-52d6cc9a9ee7,C_generic_long,87,0.5,327,"Completely generic message that doesn't mention depression, anxiety, self-esteem, the patient's preference for structured/exploratory work, or their previous CBT experience."
42,0,depression,exp-req-042-940f07,bf0c89f2-32b2-4ae8-b06d-b18ace4051d5,D_issue_specific,86,2.5,206,"Mentions depression specifically but does not address anxiety or self-esteem, ignores the style preferences (structured, exploratory), and completely overlooks the patient's prior CBT experience and c"
42,0,depression,exp-req-042-940f07,0390dbb1-87fb-4dcb-a529-53e47527063a,E_full_engagement,85,5.0,450,"Directly names depression, acknowledges the 'felt too clinical' CBT experience, and describes their warm+direct style as a contrast to purely exploratory work."
47,1,depression,exp-req-047-d05052,54f8069d-9336-4d14-96b5-a692e3bf61f8,A_empty,79,0,0,No apply message provided.
47,1,depression,exp-req-047-d05052,d135e888-21b1-414b-90a5-2892b94c4ee8,B_oneliner,79,0,27,"The message is a generic two-word response that does not mention depression, anger, exploratory style, warmth, or prior therapy experience."
47,1,depression,exp-req-047-d05052,edcb82ab-1596-4040-80ec-6d80e2bd01b7,C_generic_long,76,0.5,327,"Completely generic template that doesn't mention depression, anger, the prior therapy experience, or the preference for exploratory/warm approach."
47,1,depression,exp-req-047-d05052,30a94252-3cd0-42d1-a960-86def311f9e8,D_issue_specific,75,3.5,206,"Addresses depression directly as a primary concern and signals collaborative approach, but does not mention anger, prior therapy experience, or preference for exploratory/warm style."
47,1,depression,exp-req-047-d05052,774a11fb-6558-433b-8df2-6ebf0c120279,E_full_engagement,75,4.5,465,"Directly names depression, acknowledges prior therapy not helping and offers to explore what was missing, addresses warm preference clearly though notes being less purely exploratory than requested."
